"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SST",3.15311600441841e-275,1.77673629112857,0.949,0.886,8.30278506283456e-271,"0","SST"
"MT-ND4",8.80337567210158e-235,0.750933851578394,0.997,0.993,2.31810488197779e-230,"0","MT-ND4"
"MT-ND1",1.29429439261419e-168,0.754043088549592,0.979,0.983,3.40813599463169e-164,"0","MT-ND1"
"INS",4.95000454113114e-156,0.954744498616551,0.931,0.849,1.30343519577065e-151,"0","INS"
"IAPP",1.73419058029238e-129,0.868109526864295,0.847,0.739,4.5664706360259e-125,"0","IAPP"
"MT-CYB",2.19720168521293e-109,0.578422365817506,0.963,0.978,5.78567147750269e-105,"0","MT-CYB"
"MT-ND2",9.54661116417482e-80,0.523793912087691,0.944,0.956,2.51381365175051e-75,"0","MT-ND2"
"PPY",1.7379069951328e-66,0.936736508736587,0.571,0.452,4.57625669958368e-62,"0","PPY"
"MT-ATP6",5.61480227075496e-54,0.397030200232077,0.944,0.974,1.4784897339352e-49,"0","MT-ATP6"
"COPZ1",4.36823227611801e-49,0.257870635372528,0.08,0.28,1.15024292294739e-44,"0","COPZ1"
"EIF4A2",4.03493400425715e-46,0.287356190207949,0.159,0.415,1.06247882200099e-41,"0","EIF4A2"
"SHFM1",8.70192286706795e-46,0.289650183689243,0.075,0.261,2.29139032935633e-41,"0","SHFM1"
"ATP6AP1",1.42978883712319e-44,0.275008186453188,0.171,0.431,3.76491996591279e-40,"0","ATP6AP1"
"MTND2P28",1.14071022726907e-43,0.262531709591319,0.111,0.316,3.00371817044492e-39,"0","MTND2P28"
"DDR1",3.11636265492117e-43,0.298965640005924,0.171,0.428,8.20600614293842e-39,"0","DDR1"
"PSMB1",5.29837390365645e-41,0.254827468516583,0.104,0.299,1.39516781631082e-36,"0","PSMB1"
"CIRBP",1.79246629785673e-39,0.300959584317647,0.183,0.436,4.71992225551633e-35,"0","CIRBP"
"VAMP2",4.0122270420334e-39,0.387659645846096,0.162,0.4,1.05649962470823e-34,"0","VAMP2"
"ATP5G2",2.18779968992455e-38,0.292522917097955,0.219,0.498,5.76091414350934e-34,"0","ATP5G2"
"TMED9",8.28209743894146e-37,0.350686792671502,0.132,0.335,2.18084189762206e-32,"0","TMED9"
