"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SST",3.15311600441841e-275,1.77673629112857,0.949,0.886,8.30278506283456e-271,"Delta","SST"
"TTR",0,1.51248607675645,0.99,0.862,0,"Alpha1","TTR"
"GCG",4.26007114174099e-291,1.62107419034604,0.988,0.935,1.12176193304324e-286,"Alpha1","GCG"
"SERPINA1",1.70001894316143e-66,1.13040869183981,0.71,0.555,4.47648988113267e-62,"Alpha1","SERPINA1"
"VGF",0,1.52261471849811,0.967,0.268,0,"Alpha2","VGF"
"CRYBA2",0,1.48795391011318,0.907,0.155,0,"Alpha2","CRYBA2"
"FXYD5",0,1.41357230110161,0.744,0.093,0,"Alpha2","FXYD5"
"FXYD3",0,1.35581817494866,0.8,0.102,0,"Alpha2","FXYD3"
"SLC7A2",0,1.30996526413115,0.915,0.175,0,"Alpha2","SLC7A2"
"PLCE1",0,1.26868946450428,0.732,0.133,0,"Alpha2","PLCE1"
"GC",0,1.20046938961716,0.859,0.103,0,"Alpha2","GC"
"GLS",0,1.19799023842306,0.793,0.112,0,"Alpha2","GLS"
"SLC22A17",0,1.13898374154111,0.9,0.189,0,"Alpha2","SLC22A17"
"IRX2",0,1.08214494765819,0.744,0.068,0,"Alpha2","IRX2"
"SLC7A8",0,1.04733817431822,0.836,0.167,0,"Alpha2","SLC7A8"
"TMEM176A",3.48315924688755e-301,1.10612290236251,0.96,0.247,9.17185492890431e-297,"Alpha2","TMEM176A"
"CACNA1A",4.23388232517575e-286,1.13493594128438,0.83,0.219,1.11486589386528e-281,"Alpha2","CACNA1A"
"TM4SF4",1.64977107441024e-279,1.47450519212946,0.99,0.332,4.34417719313703e-275,"Alpha2","TM4SF4"
"CLU",3.77813765274084e-249,1.34831204265918,0.999,0.516,9.94859206719719e-245,"Alpha2","CLU"
"ALDH1A1",2.54633206557829e-246,1.13517060816352,0.959,0.305,6.70500159508074e-242,"Alpha2","ALDH1A1"
"HELLPAR",1.3520057659209e-232,1.03100444410514,0.83,0.276,3.56010158282293e-228,"Alpha2","HELLPAR"
"TTR1",2.54834316482815e-215,1.10546662581258,1,0.871,6.71029722162547e-211,"Alpha2","TTR"
"PCSK2",2.52060027850062e-211,1.12791216970253,0.989,0.4,6.63724465334784e-207,"Alpha2","PCSK2"
"CD99",1.82740857970381e-203,1.11593227728016,0.989,0.432,4.81193227207608e-199,"Alpha2","CD99"
"CFC1",4.60369388332359e-172,1.29281248844812,0.963,0.456,1.21224467335677e-167,"Alpha2","CFC1"
"CHGB",6.05369257841955e-135,1.01894807165924,0.992,0.501,1.59405832974944e-130,"Alpha2","CHGB"
"REG1A",0,3.43510343178213,0.885,0.255,0,"Acinar1","REG1A"
"REG3A",1.64354628863045e-241,3.33058077079068,0.84,0.271,4.3277860872217e-237,"Acinar1","REG3A"
"INS",1.22982943519936e-197,2.30967400807996,0.992,0.858,3.23838686876695e-193,"Beta1","INS"
"IAPP",6.29542842191932e-143,2.2263881585374,0.951,0.749,1.6577122120598e-138,"Beta1","IAPP"
"GNAS",3.07273276860931e-105,1.09174522646112,0.976,0.87,8.09111992630205e-101,"Beta1","GNAS"
"RP5-964N17.1",5.6807214072727e-87,1.81074549062494,0.902,0.581,1.49584756096305e-82,"Gamma","RP5-964N17.1"
"SST1",2.503011882953e-35,1.25045300772987,0.971,0.895,6.59093089019183e-31,"Gamma","SST"
